200 0.644700 0.519000 0.301700
400 2.362200 2.236900 1.204300
600 6.258200 5.551600 3.195800
800 11.376000 9.444800 3.911700
1000 16.134700 15.073000 9.149100
1200 28.344200 22.937500 9.413700
1400 24.611000 28.585100 12.607800
1600 34.924700 33.283600 24.005500
1800 47.782400 39.874400 20.140900
2000 58.067100 57.614600 26.803100
2200 58.908200 62.922400 34.642900
2400 72.537600 74.935300 42.041100
2600 121.652300 128.727100 55.241200
2800 108.599500 122.020000 51.301500
3000 134.251600 118.687100 54.969500
3200 131.290400 140.248900 71.839600
3400 151.778800 165.182100 70.948800
3600 174.221800 180.218500 79.769200
3800 195.584700 197.187700 97.728200
4000 219.328500 226.760000 99.485000
4200 247.015200 247.734300 105.421100
4400 271.227100 285.491500 117.335400
4600 302.819100 299.698500 128.891900
4800 319.296100 331.797900 137.267000
5000 352.424400 360.041900 157.929600
5200 383.405500 397.817500 164.557600
5400 445.964000 422.339400 176.265900
5600 467.874200 487.416800 225.119300
5800 501.399400 500.682200 212.994800
6000 532.140300 588.722800 231.624500
6200 587.137400 592.684200 249.944700
6400 608.017900 622.912100 250.576700
6600 644.584400 659.689900 267.113000
6800 715.120700 745.331600 294.871500
7000 722.576400 723.351700 303.235800
7200 795.953600 800.693500 312.912900
7400 809.196300 819.212000 336.175200
7600 849.783300 863.583500 352.002300
7800 941.385000 937.005800 396.863900
8000 972.222900 1011.154900 417.424200
8200 1008.868900 1015.830700 423.547500
8400 1065.610100 1234.017800 492.084700
8600 1183.255800 1162.040900 476.876900
8800 1201.461600 1218.322100 486.169300
9000 1258.870900 1306.039400 531.348300
9200 1280.129400 1309.237300 529.660500
9400 1323.446000 1374.477700 550.205300
9600 1391.654900 1415.179300 558.794400
9800 1456.045300 1474.043800 591.843100
10000 1504.467000 1541.425300 613.420600
10200 1565.131200 1592.974100 633.412900
10400 1595.990800 1640.362700 664.450900
10600 1642.945300 1681.737700 685.651000
10800 1693.443200 1748.499200 716.347700
11000 1748.896300 1791.026300 752.088300
11200 1799.493300 1837.586200 786.796800
11400 1864.183700 1910.833900 820.852900
11600 1997.443700 1987.775300 863.620300
