10 0.96822 0.374295 0.087505
15 1.22119 0.448125 0.08434
20 1.193 0.529245 0.05328
25 1.60411 0.487155 0.058475
30 1.71775 0.539715 0.05997
35 1.96433 0.938145 0.093365
40 2.1961 0.68076 0.064185
45 2.54862 0.745895 0.07144
50 2.8984 0.859845 0.073885
55 3.28999 0.998805 0.07559
60 3.58882 0.9886 0.109235
65 3.4833 1.49353 0.14185
70 3.86341 1.3304 0.09064
75 3.84673 1.1562 0.09613
80 4.63718 1.23712 0.101215
85 4.2467 1.86859 0.186145
90 5.62224 1.64555 0.21763
95 6.48486 1.59462 0.118605
100 8.21385 2.06908 0.129215
105 5.53603 1.82028 0.222865
110 6.39653 2.40663 0.14414
115 6.52662 1.71698 0.14808
120 7.24703 2.05534 0.16193
125 6.2341 1.88583 0.16968
130 6.97689 1.92668 0.244665
135 6.56186 2.0057 0.18082
140 6.92246 2.2129 0.190765
145 7.38561 2.19585 0.206265
150 7.32141 2.23846 0.22071
155 7.4912 2.31272 0.248415
160 7.88648 2.34628 0.237945
165 8.07958 2.44528 0.26192
170 8.29777 2.48788 0.306485
175 8.69394 2.56217 0.28261
180 9.26514 2.70515 0.315345
185 8.85365 2.97222 0.343265
190 9.2775 3.12901 0.314515
195 9.2104 3.24705 0.362265
200 9.65289 2.9846 0.338185
200 9.91387 2.97176 0.38001
211 10.8837 3.2658 0.40336
222 11.282 3.28633 0.410455
234 11.3852 3.48623 0.517565
246 12.1 3.5653 0.493925
259 12.7595 3.75286 0.527365
272 14.0852 4.00684 0.583285
286 14.2824 4.24198 0.633505
301 15.0192 4.47586 0.70144
317 15.7888 4.83083 0.814885
333 16.2146 4.83666 0.846155
350 16.9064 5.13093 0.9619
368 18.1925 5.44344 1.19764
387 18.4863 5.58714 1.15249
407 19.4546 5.99379 1.24095
428 20.6018 6.36405 1.38279
450 21.6614 6.75128 1.66523
473 22.4518 6.88795 1.80383
497 24.4177 7.46463 1.93328
522 25.7527 7.75881 2.04253
549 25.534 8.08409 2.27943
577 28.3671 8.99466 2.39786
606 29.7208 9.11496 2.81984
637 30.5541 10.1591 3.01652
669 32.995 9.91169 3.30854
703 32.2926 10.4266 3.43904
739 33.5616 10.8248 3.9785
776 36.0882 11.2339 4.53876
815 37.686 12.1637 4.62513
856 38.9728 12.616 5.12298
899 40.9751 13.0499 5.64945
944 42.5061 14.195 6.31714
992 45.9942 14.576 6.86284
1042 47.0876 15.375 8.40311
1095 48.7014 15.9144 8.72537
1150 52.462 17.8218 9.41666
